지점번호,total,요일,Latitude_y,Longitude_y
B-09,43752.04464284842,5.0,37.54788,127.178
B-09,35939.88392855762,6.0,37.54788,127.178
B-10,128633.77777779673,0.0,37.57035,127.1602
B-10,129733.88118814328,1.0,37.57035,127.1602
B-10,126769.53465347635,2.0,37.57035,127.1602
B-10,130396.61386138,3.0,37.57035,127.1602
B-10,138747.4141413896,4.0,37.57035,127.1602
B-10,138995.6199999716,5.0,37.57035,127.1602
B-10,127603.31683168758,6.0,37.57035,127.1602
B-11,121900.84552848277,0.0,37.46553,127.0415
B-11,120148.48780489461,1.0,37.46553,127.0415
B-11,121130.73983741464,2.0,37.46553,127.0415
B-11,121441.783999999,3.0,37.46553,127.0415
B-11,120147.99173552987,4.0,37.46553,127.0415
B-11,118199.64166664467,5.0,37.46553,127.0415
B-11,120963.85950410164,6.0,37.46553,127.0415
B-12,44293.30555551599,0.0,37.469570000000004,127.1291
B-12,45008.938053068225,1.0,37.469570000000004,127.1291
B-12,45347.71559631218,2.0,37.469570000000004,127.1291
B-12,45404.435185181115,3.0,37.469570000000004,127.1291
B-12,46645.15789474929,4.0,37.469570000000004,127.1291
B-12,44261.10377361574,5.0,37.469570000000004,127.1291
B-12,38431.43809528842,6.0,37.469570000000004,127.1291
B-13,31342.37313433097,0.0,37.46313,127.1106
B-13,32142.014925375268,1.0,37.46313,127.1106
B-13,32184.77611940162,2.0,37.46313,127.1106
B-13,32644.13636363751,3.0,37.46313,127.1106
B-13,34309.80303030316,4.0,37.46313,127.1106
B-13,29222.924242424786,5.0,37.46313,127.1106
B-13,20304.569230764064,6.0,37.46313,127.1106
B-14,76562.24590166238,0.0,37.47185,127.1257
B-14,77129.94308944828,1.0,37.47185,127.1257
B-14,77833.38016529405,2.0,37.47185,127.1257
B-14,77015.42276421779,3.0,37.47185,127.1257
B-14,77694.27118641777,4.0,37.47185,127.1257
B-14,75285.21008400944,5.0,37.47185,127.1257
B-14,72647.15000001247,6.0,37.47185,127.1257
B-15,43382.89898989937,0.0,37.46398,126.9915
B-15,44696.440000000766,1.0,37.46398,126.9915
B-15,44406.920792078716,2.0,37.46398,126.9915
B-15,44742.505050505766,3.0,37.46398,126.9915
B-15,45932.76923076877,4.0,37.46398,126.9915
B-15,43807.31683168267,5.0,37.46398,126.9915
B-15,45819.73529411741,6.0,37.46398,126.9915
B-16,60764.5882351403,0.0,37.46069,127.0379
B-16,60517.69230765543,1.0,37.46069,127.0379
B-16,57988.6727273151,2.0,37.46069,127.0379
B-16,61609.92727282019,3.0,37.46069,127.0379
B-16,61397.59615396381,4.0,37.46069,127.0379
B-16,56175.34615391724,5.0,37.46069,127.0379
B-16,55019.85999985364,6.0,37.46069,127.0379
B-17,40039.098039221455,0.0,37.48427,127.0143
