,grid,month,day,temp_avg,temp_max,temp_min,windspeed_avg,windspeed_max,windspeed_min,sen_temp_avg,sen_temp_max,sen_temp_min
2449,62_129,7,28,27.084615538461545,30.4,24.6,0.11630769230769232,0.432,0.0,29.50589838255504,32.611294767095536,28.408900000000003
2450,62_129,7,29,28.13076892307692,33.599998,24.0,0.6064615384615384,1.332,0.072,30.403744813209734,36.0464383252606,26.819021434170565
2451,62_129,7,30,28.515384384615388,34.700001,24.299999,0.20215384615384616,0.468,0.0,30.793027144838007,36.80135927218115,28.222449378500002
2452,62_129,7,31,28.46923053846154,35.400002,24.9,0.19107692307692312,0.684,0.036,30.75074240288626,37.63001388783161,27.71577330325434
2453,62_129,8,1,30.56153853846154,37.200001,26.9,0.18553846153846154,0.684,0.0,32.685011557530856,39.42033452106204,29.83835
2454,62_129,8,2,30.361538615384617,35.700001,27.200001,0.18,0.756,0.0,32.49767739468728,37.97070624544651,30.0248006215
2455,62_129,8,3,28.34615407692308,34.0,24.799999,0.2990769230769231,0.612,0.072,30.629347690870937,36.20249957416807,27.52443285072294
2456,62_129,8,4,27.830769538461542,33.0,25.700001,0.3267692307692308,0.72,0.108,30.136633124013727,35.25621206920722,28.26611075372421
2457,62_129,8,5,28.58461530769231,31.700001,26.6,0.35723076923076924,0.684,0.072,30.854635417884765,33.94990732484284,29.111611403703236
2458,62_129,8,6,26.030769384615386,28.0,24.1,0.016615384615384615,0.072,0.0,28.75365271885873,30.346082925759283,28.098150000000004
2459,62_129,8,7,28.04615384615385,32.200001,25.799999,0.15507692307692308,0.756,0.0,30.365371528511364,34.46844463309784,29.1546993785
2460,62_129,8,8,28.130769230769236,32.5,25.6,0.2824615384615385,0.72,0.0,30.42670640501614,34.75736310874042,29.0304
2461,62_129,8,9,26.776923230769235,29.700001,24.799999,0.2436923076923077,0.9,0.036,29.161153414630625,31.977813322486632,27.630328045426566
2462,62_129,8,10,27.453846538461537,32.900002,23.700001,0.2326153846153846,0.5039999999999999,0.0,29.798857838555293,35.068297040026195,27.8495506215
2463,62_129,8,11,28.553845923076924,33.599998,25.5,0.384923076923077,0.9,0.0,30.824671460739406,35.9221609035467,28.96825
2464,62_129,8,12,26.953846153846147,32.799999,25.0,0.23538461538461541,0.9720000000000001,0.0,29.330091474740662,35.13298562806749,28.6575
2465,62_129,8,13,27.60769246153846,31.9,25.700001,0.18000000000000002,0.72,0.0,29.95626066818815,34.15874435618026,29.092550621500003
2466,62_129,8,14,26.784615307692306,29.9,25.200001,0.108,0.324,0.0,29.241406420590405,32.10811792761588,28.7818006215
2467,62_129,8,15,27.47692307692308,28.9,25.299999,0.2824615384615385,0.684,0.0,29.808567207345583,31.164961575780843,28.8439493785
2468,62_129,8,16,23.738461692307688,29.4,20.299999,0.7227692307692307,1.692,0.216,26.014853345169936,31.704403786544106,23.137558372270036
2469,62_129,8,17,22.846153846153847,29.700001,17.799999,0.4735384615384615,1.26,0.108,25.267955080958842,31.999896961814933,21.162352612060364
2470,62_129,8,18,23.007692000000002,28.0,20.4,0.17723076923076922,0.8279999999999998,0.0,25.715332638304695,30.261972280036865,25.7986
2471,62_129,8,19,25.038461615384616,30.9,22.200001,0.13846153846153847,0.612,0.0,27.630281707791106,33.139570227134115,26.9173006215
2472,62_129,8,20,27.96153846153846,30.4,23.9,1.2212307692307691,1.7640000000000002,0.648,30.205642160001034,32.762186217640775,26.20719513729486
2473,62_129,8,21,23.469230923076925,29.0,21.200001,0.16061538461538463,0.54,0.036,26.16538367978252,31.259935692166483,24.554331232500015
2474,62_129,8,22,29.56153807692308,34.599998,27.1,0.40707692307692306,0.8279999999999998,0.144,31.796612931454995,36.90292452274413,29.504388077322325
2475,62_129,8,23,26.353846461538463,29.700001,23.6,0.7033846153846154,1.728,0.216,28.628615655012638,32.0217375442068,26.212438040780476
2476,62_129,8,24,23.100000230769226,23.799999,22.0,0.6286153846153846,1.368,0.0,25.424066513927635,25.87900018154782,26.793
2477,62_129,8,25,21.076922846153845,26.200001,18.1,0.29907692307692313,1.188,0.0,23.735463014829058,28.394165675068468,24.36915
2478,62_129,8,26,20.400000307692306,22.200001,19.4,0.1938461538461539,0.5039999999999999,0.0,23.274815464635104,24.61621329837442,25.1771
2479,62_129,8,27,21.96923061538461,24.5,20.5,0.09692307692307692,0.324,0.0,24.943336238968282,26.964196438343464,25.86075
2480,62_129,8,28,23.176923076923078,24.299999,22.299999,0.4929230769230768,1.188,0.216,25.57743560472998,26.438909910127343,25.001121243014886
2481,62_129,8,29,22.715384692307694,23.299999,22.0,0.2963076923076924,0.72,0.0,25.29222057105014,25.57854123845335,26.793
2482,62_129,8,30,23.03076915384615,26.299999,21.9,0.15507692307692308,0.432,0.0,25.77248451089168,28.641782625532876,26.73085
2483,62_129,8,31,21.13076946153846,26.9,18.700001,0.16892307692307693,0.468,0.0,24.001951967994874,29.21475227790055,24.7420506215
2484,63_125,6,1,20.684615384615384,26.9,16.0,0.23815384615384622,0.54,0.036,23.45689668695134,29.20030959035777,20.111221402101535
2485,63_125,6,2,18.78461553846154,26.1,14.3,0.18000000000000002,0.3960000000000001,0.0,21.813788642225845,28.460494963916048,22.00745
2486,63_125,6,3,20.653846153846153,28.299999,16.4,0.20215384615384616,0.468,0.108,23.49351144158348,30.576449821963152,19.90345998208745
2487,63_125,6,4,20.84615376923077,24.4,18.200001,0.21876923076923083,0.432,0.072,23.641498427152783,26.802254025550354,21.70478315313229
2488,63_125,6,5,21.16923092307692,27.200001,18.1,0.22984615384615387,0.54,0.036,23.92422244705545,29.494542871390493,21.905553873160066
2489,63_125,6,6,20.284615307692306,26.4,17.1,0.2187692307692308,0.3960000000000001,0.036,23.117911817890153,28.749509135397112,21.051109839322667
2490,63_125,6,7,20.446153846153848,25.9,17.799999,0.27415384615384614,0.432,0.072,23.174454261421157,28.254514210936655,21.352075240442673
2491,63_125,6,8,20.95384584615385,25.9,19.0,0.23261538461538464,0.3960000000000001,0.0,23.718221419826385,28.267818849595336,24.9285
2492,63_125,6,9,20.799999999999997,25.799999,18.5,0.41815384615384615,0.576,0.216,23.331023759071837,28.11073213347531,21.460352720381106
2493,63_125,6,10,20.561538153846154,23.9,18.299999,0.38492307692307687,0.54,0.25199999999999995,23.137412606755742,26.2579865877739,21.193603214155868
2494,63_125,6,11,18.353846,21.299999,16.299999,0.29907692307692296,0.468,0.108,21.152992166753165,23.76795723844116,19.813538116507605
2495,63_125,6,12,19.376923,23.9,17.200001,0.22984615384615392,0.576,0.072,22.248627192321024,26.24017650518332,20.823017780235112
2496,63_125,6,13,21.26923053846154,24.299999,20.0,0.17446153846153847,0.3960000000000001,0.036,24.117875955356297,26.726408971649086,23.52899753745111
2497,63_125,6,14,20.44615376923077,24.200001,17.200001,0.40153846153846146,0.54,0.18,23.007429863510357,26.55221986880662,20.351409965960535
2498,63_125,6,15,18.476923307692307,23.700001,15.3,0.4375384615384616,0.576,0.216,21.060474379885285,26.04327679360307,18.478652127189346
2499,63_125,6,16,20.77692292307692,27.9,17.299999,0.0969230769230769,0.216,0.036,23.87688528310923,30.219098212881903,21.22199779164611
2500,63_125,6,17,21.30769238461539,25.5,19.1,0.19938461538461544,0.3960000000000001,0.036,24.105600940778356,27.88246662095392,22.759997906997455
2501,63_125,6,18,21.59999992307693,28.200001,18.1,0.2215384615384616,0.468,0.036,24.339963320143504,30.479187587482155,21.905553873160066
2502,63_125,6,19,20.48461523076923,23.5,18.5,0.2935384615384616,0.612,0.108,23.18173478233049,25.8280614632466,21.791800275861313
2503,63_125,6,20,20.84615353846154,26.200001,18.9,0.396,0.576,0.216,23.39904135668184,28.504535494649744,21.833065294530073
2504,63_125,6,21,21.369230923076923,27.1,17.5,0.21876923076923083,0.432,0.0,24.129223155063144,29.416322359245697,23.99625
2505,63_125,6,22,22.538461384615385,28.299999,19.6,0.19938461538461538,0.5039999999999999,0.036,25.247549095769642,30.574875350827337,23.187219923916153
2506,63_125,6,23,21.799999846153845,25.799999,19.4,0.3018461538461539,0.54,0.108,24.41788720566663,28.121456841969348,22.601088973192965
2507,63_125,6,24,23.23076953846154,29.200001,20.200001,0.24369230769230774,0.576,0.036,25.83547055054699,31.458045935905748,23.699887198662623
2508,63_125,6,25,25.97692315384615,31.5,20.200001,0.20492307692307693,0.3960000000000001,0.036,28.434235097398727,33.66275005057523,23.699887198662623
2509,63_125,6,26,21.846153615384615,24.6,19.5,0.6756923076923077,0.936,0.288,24.154020525410242,26.80981199322346,22.258021007776954
2510,63_125,6,27,23.369230923076923,25.700001,22.5,0.26307692307692315,0.468,0.036,25.944639663092754,28.04758309336715,25.66510762204459
2511,63_125,6,28,21.361538615384614,22.0,21.0,0.1412307692307692,0.216,0.036,24.275838491255843,24.721587744184593,24.383441571288504
2512,63_125,6,29,23.346153923076923,27.700001,21.5,0.12461538461538459,0.288,0.072,26.11522860835698,30.01847912380649,24.614608001927614
2513,63_125,6,30,22.42307684615384,25.799999,21.700001,0.26030769230769235,0.468,0.144,25.05700921456238,28.144845327848152,24.57801676004609
2514,63_125,7,1,21.50769223076923,22.200001,20.799999,0.29630769230769227,0.3960000000000001,0.216,24.147474382266115,24.703311698042775,23.60344908995625
2515,63_125,7,2,22.638461692307693,23.200001,21.799999,0.2824615384615385,0.3960000000000001,0.144,25.23433729002799,25.666692269646326,24.669244050826144
2516,63_125,7,3,24.90769184615385,27.6,22.9,0.22707692307692312,0.3960000000000001,0.036,27.421527870817158,29.905565821321375,26.006885235579553
2517,63_125,7,4,24.530769,28.299999,22.4,0.2824615384615385,0.684,0.0,27.02330448673383,30.568186705206532,27.0416
2518,63_125,7,5,23.307692538461538,25.5,21.700001,0.7116923076923076,0.7920000000000001,0.576,25.58996359603664,27.755118195859218,24.07426983276573
2519,63_125,7,6,21.253845923076923,24.1,19.0,0.8501538461538463,1.0079999999999998,0.756,23.461868788877815,26.28148539708514,21.259914123022398
2520,63_125,7,7,20.338461461538465,25.0,17.299999,0.7726153846153844,0.9720000000000001,0.54,22.58822570923232,27.206607733596258,19.78487500131505
2521,63_125,7,8,23.007692230769234,25.9,20.6,0.4652307692307692,0.756,0.108,25.43082010703983,28.16437273022406,23.680140569635174
2522,63_125,7,9,20.915384538461538,21.299999,20.6,0.5898461538461538,0.648,0.5039999999999999,23.29108500429846,23.629530093414076,23.053284057645698
2523,63_125,7,10,24.607692384615383,25.9,24.1,0.20492307692307693,0.3960000000000001,0.036,27.161974741550686,28.267818849595336,27.032218076184428
